Comp_89	 CaCl2* 2H2O	 Basal medium hungate	 0.1 g/L	1
Comp_90	 K2HPO4	 Basal medium hungate	 0.3 g/L	1
Comp_91	 NH4Cl	 Basal medium hungate	 1 g/L	1
Comp_92	 KH2PO4	 Basal medium hungate	 0.3 g/L	1
Comp_93	 Yeast extract	 Basal medium	 10 g/L	1
Comp_94	 Glucose	 Basal medium	 5 g/L	1
Comp_95	 Cysteine*H2O*HCl	 Basal medium	 0.5 g/L	1
Comp_96	 Trypticase peptone (BD)	 Basal medium	 5 g/L	1
Comp_97	 Peptone from meat (pepsin digested)	 Basal medium	 5 g/L	1
Comp_98	 NaCl	 Anaerobic enrichment medium	 40 g/L	1
Comp_99	 KCl	 Anaerobic enrichment medium	 0.5 g/L	1
Comp_100	 K2HPO4	 Anaerobic enrichment medium	 0.3 g/L	1
Comp_101	 NH4Cl	 Anaerobic enrichment medium	 1 g/L	1
Comp_102	 Yeast extract	 Anaerobic enrichment medium	 2 g/L	1
Comp_103	 Glucose	 Anaerobic enrichment medium	 3 g/L	1
Comp_104	 Cysteine*H2O*HCl	 Anaerobic enrichment medium	 0.5 g/L	1
Comp_105	 CaCl2 	 Anaerobic enrichment medium	 0.2 g/L	1
Comp_106	 KH2PO4	 Anaerobic enrichment medium	 0.3 g/L	1
Comp_107	 NaCl	 Bicarbonate buffered medium	 0.3 g/L	1
Comp_108	 CaCl2* 2H2O	 Bicarbonate buffered medium	 0.11 g/L	1
Comp_109	 MgCl2* 6H2O	 Bicarbonate buffered medium	 0.11 g/L	1
Comp_110	 Na2HPO4	 Bicarbonate buffered medium	 0.53 g/L	1
Comp_111	 NH4Cl	 Bicarbonate buffered medium	 0.3 g/L	1
Comp_112	 Yeast extract	 Bicarbonate buffered medium	 0.5 g/L	1
Comp_113	 NaHCO3	 Bicarbonate buffered medium	 4 g/L	1
Comp_114	 Resazurin	 Bicarbonate buffered medium	 0.005 g/L	1
Comp_115	 Na2S*7H2O	 Bicarbonate buffered medium	 0.25 g/L	1
Comp_116	 KH2PO4	 Bicarbonate buffered medium	 0.4 g/L	1
Comp_117	 KCl	 BSi20414 medium	 1 g/L	1
Comp_118	 MgSO4*7H2O	 BSi20414 medium	 4 g/L	1
Comp_119	 MgCl2  	 BSi20414 medium	 5 g/L	1
Comp_120	 CaCl2 	 BSi20414 medium	 0.6 g/L	1
Comp_121	 lactose	 BSi20414 medium	 15 g/L	1
Comp_122	 Tryptone	 BSi20414 medium	 5 g/L	1
Comp_123	 NaCl	 Marine agar 2216	 19.45 g/L	1
Comp_124	 KCl	 Marine agar 2216	 0.55 g/L	1
Comp_125	 Na2HPO4	 Marine agar 2216	 0.008 g/L	1
Comp_126	 Yeast extract	 Marine agar 2216	 1 g/L	1
Comp_127	 C6H5FeO7	 Marine agar 2216	 0.1 g/L	1
Comp_128	 NaHCO3	 Marine agar 2216	 0.16 g/L	1
Comp_129	 NH4NO3	 Marine agar 2216	 0.0016 g/L	1
Comp_130	 NaF	 Marine agar 2216	 0.0024 g/L	1
Comp_131	 Na2SiO3	 Marine agar 2216	 0.004 g/L	1
Comp_132	 KBr	 Marine agar 2216	 0.08 g/L	1
Comp_133	 SrCl2	 Marine agar 2216	 0.034 g/L	1
Comp_134	 MgCl2  	 Marine agar 2216	 8.8 g/L	1
Comp_135	 CaCl2 	 Marine agar 2216	 1.8 g/L	1
Comp_136	 Na2SO4	 Marine agar 2216	 3.24 g/L	1
Comp_137	 H3BO3	 Marine agar 2216	 0.022 g/L	1
Comp_138	 Agar	 Marine agar 2216	 15 g/L	1
Comp_139	 Peptone  	 Marine agar 2216	 5 g/L	1
Comp_140	 K2HPO4	 R2A medium	 0.3 g/L	1
Comp_141	 Casein Hydrolysate	 R2A medium	 0.5 g/L	1
Comp_142	 Yeast extract	 R2A medium	 0.5 g/L	1
Comp_143	 Casein peptone	 R2A medium	 0.25 g/L	1
Comp_144	 Soluble starch	 R2A medium	 0.5 g/L	1
Comp_145	 Glucose	 R2A medium	 0.5 g/L	1
Comp_146	 Sodium pyruvate	 R2A medium	 0.3 g/L	1
Comp_147	 MgSO4 	 R2A medium	 0.024 g/L	1
Comp_148	 Agar	 R2A medium	 15 g/L	1
Comp_149	 Peptone from meat (pepsin digested)	 R2A medium	 0.25 g/L	1
Comp_150	 NaCl	 AF-A medium	 0.5 g/L	1
Comp_151	 Yeast extract	 AF-A medium	 1 g/L	1
Comp_152	 Glucose	 AF-A medium	 10 g/L	1
Comp_153	 Soybean meal	 AF-A medium	 4 g/L	1
Comp_154	 MES buffer	 AF-A medium	 1.5 g/L	1
Comp_155	 CaCl2 	 Mannitol Soya Flour Agar SFM	 1.10 g/L	1
Comp_156	 Soybean flour	 Mannitol Soya Flour Agar SFM	 8 g/L	1
Comp_157	 Mannitol	 Mannitol Soya Flour Agar SFM	 8 g/L	1
Comp_158	 Agar	 Mannitol Soya Flour Agar SFM	 8 g/L	1
Comp_159	 NaCl	 Sporomusa medium (betaine)	 2.25 g/L	1
Comp_160	 CaCl2* 2H2O	 Sporomusa medium (betaine)	 0.25 g/L	1
Comp_161	 MgSO4*7H2O	 Sporomusa medium (betaine)	 0.50 g/L	1
Comp_162	 K2HPO4	 Sporomusa medium (betaine)	 0.35 g/L	1
Comp_163	 NH4Cl	 Sporomusa medium (betaine)	 0.50 g/L	1
Comp_164	 Yeast extract	 Sporomusa medium (betaine)	 2 g/L	1
Comp_165	 Casitone	 Sporomusa medium (betaine)	 2 g/L	1
Comp_166	 NaHCO3	 Sporomusa medium (betaine)	 4 g/L	1
Comp_167	 Na2S*9H2O	 Sporomusa medium (betaine)	 0.30 g/L	1
Comp_168	 Cysteine*H2O*HCl	 Sporomusa medium (betaine)	 0.30 g/L	1
Comp_169	 KH2PO4	 Sporomusa medium (betaine)	 0.23 g/L	1
